look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
1,64,32,10,0.25,adam,2,0.3737839460372925
1,64,32,10,0.25,adam,3,0.3726612329483032
1,64,32,10,0.25,rmsprop,1,0.37484538555145264
1,64,32,10,0.25,rmsprop,2,0.3793860673904419
1,64,32,10,0.25,rmsprop,3,0.3764410614967346
1,64,32,10,0.5,adam,1,0.37958621978759766
1,64,32,10,0.5,adam,2,0.3730151057243347
1,64,32,10,0.5,adam,3,0.3821277916431427
1,64,32,10,0.5,rmsprop,1,0.37704336643218994
1,64,32,10,0.5,rmsprop,2,0.3822537362575531
1,64,32,10,0.5,rmsprop,3,0.38176774978637695
1,64,32,30,0.0,adam,1,0.3736461400985718
1,64,32,30,0.0,adam,2,0.37340882420539856
1,64,32,30,0.0,adam,3,0.3895895481109619
1,64,32,30,0.0,rmsprop,1,0.3759944438934326
1,64,32,30,0.0,rmsprop,2,0.37811559438705444
1,64,32,30,0.0,rmsprop,3,0.3755277395248413
1,64,32,30,0.25,adam,1,0.379528284072876
1,64,32,30,0.25,adam,2,0.3759620189666748
1,64,32,30,0.25,adam,3,0.36898666620254517
1,64,32,30,0.25,rmsprop,1,0.3799195885658264
1,64,32,30,0.25,rmsprop,2,0.3831758499145508
1,64,32,30,0.25,rmsprop,3,0.37867823243141174
1,64,32,30,0.5,adam,1,0.3723241984844208
1,64,32,30,0.5,adam,2,0.37923291325569153
1,64,32,30,0.5,adam,3,0.38183197379112244
1,64,32,30,0.5,rmsprop,1,0.3800337016582489
1,64,32,30,0.5,rmsprop,2,0.3769673705101013
1,64,32,30,0.5,rmsprop,3,0.37639009952545166
1,64,32,50,0.0,adam,1,0.37288403511047363
1,64,32,50,0.0,adam,2,0.3741069734096527
1,64,32,50,0.0,adam,3,0.3792630434036255
1,64,32,50,0.0,rmsprop,1,0.3748111128807068
1,64,32,50,0.0,rmsprop,2,0.3762166202068329
1,64,32,50,0.0,rmsprop,3,0.3703450560569763
1,64,32,50,0.25,adam,1,0.3773040175437927
1,64,32,50,0.25,adam,2,0.36780110001564026
1,64,32,50,0.25,adam,3,0.3753954768180847
1,64,32,50,0.25,rmsprop,1,0.37509557604789734
1,64,32,50,0.25,rmsprop,2,0.373744934797287
1,64,32,50,0.25,rmsprop,3,0.37518784403800964
1,64,32,50,0.5,adam,1,0.37880754470825195
1,64,32,50,0.5,adam,2,0.37323108315467834
1,64,32,50,0.5,adam,3,0.37481847405433655
1,64,32,50,0.5,rmsprop,1,0.37558606266975403
1,64,32,50,0.5,rmsprop,2,0.37829700112342834
1,64,32,50,0.5,rmsprop,3,0.384154736995697
1,64,64,10,0.0,adam,1,0.3741806149482727
1,64,64,10,0.0,adam,2,0.3686749339103699
1,64,64,10,0.0,adam,3,0.3653566837310791
1,64,64,10,0.0,rmsprop,1,0.37519359588623047
1,64,64,10,0.0,rmsprop,2,0.37395739555358887
1,64,64,10,0.0,rmsprop,3,0.3670986592769623
1,64,64,10,0.25,adam,1,0.37461692094802856
1,64,64,10,0.25,adam,2,0.36825451254844666
1,64,64,10,0.25,adam,3,0.373810350894928
1,64,64,10,0.25,rmsprop,1,0.37485232949256897
1,64,64,10,0.25,rmsprop,2,0.37618061900138855
1,64,64,10,0.25,rmsprop,3,0.3745427429676056
1,64,64,10,0.5,adam,1,0.38036465644836426
1,64,64,10,0.5,adam,2,0.3696807026863098
1,64,64,10,0.5,adam,3,0.369472861289978
1,64,64,10,0.5,rmsprop,1,0.37752610445022583
1,64,64,10,0.5,rmsprop,2,0.3806918263435364
1,64,64,10,0.5,rmsprop,3,0.3851335048675537
1,64,64,30,0.0,adam,1,0.37235355377197266
1,64,64,30,0.0,adam,2,0.3684391975402832
1,64,64,30,0.0,adam,3,0.37308117747306824
1,64,64,30,0.0,rmsprop,1,0.37661975622177124
1,64,64,30,0.0,rmsprop,2,0.37889066338539124
1,64,64,30,0.0,rmsprop,3,0.3772377073764801
1,64,64,30,0.25,adam,1,0.37530916929244995
1,64,64,30,0.25,adam,2,0.37582480907440186
1,64,64,30,0.25,adam,3,0.37666434049606323
1,64,64,30,0.25,rmsprop,1,0.3780113458633423
1,64,64,30,0.25,rmsprop,2,0.3760927617549896
1,64,64,30,0.25,rmsprop,3,0.377484530210495
1,64,64,30,0.5,adam,1,0.3776824474334717
1,64,64,30,0.5,adam,2,0.3728790283203125
1,64,64,30,0.5,adam,3,0.3766056299209595
1,64,64,30,0.5,rmsprop,1,0.38003477454185486
1,64,64,30,0.5,rmsprop,2,0.37852680683135986
1,64,64,30,0.5,rmsprop,3,0.39018845558166504
1,64,64,50,0.0,adam,1,0.3749067187309265
1,64,64,50,0.0,adam,2,0.3716265559196472
1,64,64,50,0.0,adam,3,0.379201740026474
1,64,64,50,0.0,rmsprop,1,0.37798142433166504
1,64,64,50,0.0,rmsprop,2,0.3715191185474396
1,64,64,50,0.0,rmsprop,3,0.38251808285713196
1,64,64,50,0.25,adam,1,0.3714829981327057
1,64,64,50,0.25,adam,2,0.3657088279724121
1,64,64,50,0.25,adam,3,0.3700962960720062
1,64,64,50,0.25,rmsprop,1,0.376807302236557
1,64,64,50,0.25,rmsprop,2,0.37318912148475647
1,64,64,50,0.25,rmsprop,3,0.37284669280052185
1,64,64,50,0.5,adam,1,0.37676554918289185
1,64,64,50,0.5,adam,2,0.3720895051956177
1,64,64,50,0.5,adam,3,0.3743867874145508
1,64,64,50,0.5,rmsprop,1,0.37899935245513916
1,64,64,50,0.5,rmsprop,2,0.37831825017929077
1,64,64,50,0.5,rmsprop,3,0.38452133536338806
1,128,32,10,0.0,adam,1,0.37661489844322205
1,128,32,10,0.0,adam,2,0.3784026503562927
1,128,32,10,0.0,adam,3,0.3758867383003235
1,128,32,10,0.0,rmsprop,1,0.372687429189682
1,128,32,10,0.0,rmsprop,2,0.37510693073272705
1,128,32,10,0.0,rmsprop,3,0.3822025954723358
1,128,32,10,0.25,adam,1,0.38699522614479065
1,128,32,10,0.25,adam,2,0.36586740612983704
1,128,32,10,0.25,adam,3,0.3682438135147095
1,128,32,10,0.25,rmsprop,1,0.37875932455062866
1,128,32,10,0.25,rmsprop,2,0.37259212136268616
1,128,32,10,0.25,rmsprop,3,0.375610888004303
1,128,32,10,0.5,adam,1,0.37845489382743835
1,128,32,10,0.5,adam,2,0.38478848338127136
1,128,32,10,0.5,adam,3,0.375426322221756
1,128,32,10,0.5,rmsprop,1,0.3798310458660126
1,128,32,10,0.5,rmsprop,2,0.38234907388687134
1,128,32,10,0.5,rmsprop,3,0.37478387355804443
1,128,32,30,0.0,adam,1,0.3720873296260834
1,128,32,30,0.0,adam,2,0.3663713037967682
1,128,32,30,0.0,adam,3,0.376258909702301
1,128,32,30,0.0,rmsprop,1,0.3813689053058624
1,128,32,30,0.0,rmsprop,2,0.3736077845096588
1,128,32,30,0.0,rmsprop,3,0.37161174416542053
1,128,32,30,0.25,adam,1,0.37583601474761963
1,128,32,30,0.25,adam,2,0.36993661522865295
1,128,32,30,0.25,adam,3,0.3693765699863434
1,128,32,30,0.25,rmsprop,1,0.3791566789150238
1,128,32,30,0.25,rmsprop,2,0.37342706322669983
1,128,32,30,0.25,rmsprop,3,0.38385477662086487
1,128,32,30,0.5,adam,1,0.374610036611557
1,128,32,30,0.5,adam,2,0.376473605632782
1,128,32,30,0.5,adam,3,0.36951279640197754
1,128,32,30,0.5,rmsprop,1,0.37973731756210327
1,128,32,30,0.5,rmsprop,2,0.375950425863266
1,128,32,30,0.5,rmsprop,3,0.3751031160354614
1,128,32,50,0.0,adam,1,0.37235912680625916
1,128,32,50,0.0,adam,2,0.3735436201095581
1,128,32,50,0.0,adam,3,0.37359046936035156
1,128,32,50,0.0,rmsprop,1,0.3840819001197815
1,128,32,50,0.0,rmsprop,2,0.3746418058872223
1,128,32,50,0.0,rmsprop,3,0.376179039478302
1,128,32,50,0.25,adam,1,0.3703748881816864
1,128,32,50,0.25,adam,2,0.3701877295970917
1,128,32,50,0.25,adam,3,0.37238815426826477
1,128,32,50,0.25,rmsprop,1,0.38349905610084534
1,128,32,50,0.25,rmsprop,2,0.379465788602829
1,128,32,50,0.25,rmsprop,3,0.377765029668808
1,128,32,50,0.5,adam,1,0.3732544779777527
1,128,32,50,0.5,adam,2,0.3761499226093292
1,128,32,50,0.5,adam,3,0.37631282210350037
1,128,32,50,0.5,rmsprop,1,0.3833736777305603
1,128,32,50,0.5,rmsprop,2,0.3752218782901764
1,128,32,50,0.5,rmsprop,3,0.3800634443759918
1,128,64,10,0.0,adam,1,0.3895125985145569
1,128,64,10,0.0,adam,2,0.36312955617904663
1,128,64,10,0.0,adam,3,0.37264928221702576
1,128,64,10,0.0,rmsprop,1,0.38045650720596313
1,128,64,10,0.0,rmsprop,2,0.3762369453907013
1,128,64,10,0.0,rmsprop,3,0.3762710988521576
1,128,64,10,0.25,adam,1,0.35621577501296997
1,128,64,10,0.25,adam,2,0.37108951807022095
1,128,64,10,0.25,adam,3,0.3757631182670593
1,128,64,10,0.25,rmsprop,1,0.3761598765850067
1,128,64,10,0.25,rmsprop,2,0.38238653540611267
1,128,64,10,0.25,rmsprop,3,0.37790343165397644
1,128,64,10,0.5,adam,1,0.378689706325531
1,128,64,10,0.5,adam,2,0.3902958035469055
1,128,64,10,0.5,adam,3,0.36818552017211914
1,128,64,10,0.5,rmsprop,1,0.38121792674064636
1,128,64,10,0.5,rmsprop,2,0.3670923709869385
1,128,64,10,0.5,rmsprop,3,0.3602719008922577
1,128,64,30,0.0,adam,1,0.37188228964805603
1,128,64,30,0.0,adam,2,0.37800341844558716
1,128,64,30,0.0,adam,3,0.3825710713863373
1,128,64,30,0.0,rmsprop,1,0.3707263171672821
1,128,64,30,0.0,rmsprop,2,0.38631290197372437
1,128,64,30,0.0,rmsprop,3,0.3733809292316437
1,128,64,30,0.25,adam,1,0.37901219725608826
1,128,64,30,0.25,adam,2,0.3696296811103821
1,128,64,30,0.25,adam,3,0.36889731884002686
1,128,64,30,0.25,rmsprop,1,0.37909430265426636
1,128,64,30,0.25,rmsprop,2,0.3783075213432312
1,128,64,30,0.25,rmsprop,3,0.3695598840713501
1,128,64,30,0.5,adam,1,0.3739626407623291
1,128,64,30,0.5,adam,2,0.37332436442375183
1,128,64,30,0.5,adam,3,0.369608074426651
1,128,64,30,0.5,rmsprop,1,0.381024032831192
1,128,64,30,0.5,rmsprop,2,0.38148239254951477
1,128,64,30,0.5,rmsprop,3,0.37307098507881165
1,128,64,50,0.0,adam,1,0.3798108696937561
1,128,64,50,0.0,adam,2,0.3780915439128876
1,128,64,50,0.0,adam,3,0.3799937069416046
1,128,64,50,0.0,rmsprop,1,0.3815835416316986
1,128,64,50,0.0,rmsprop,2,0.3805469572544098
1,128,64,50,0.0,rmsprop,3,0.39279115200042725
1,128,64,50,0.25,adam,1,0.37694424390792847
1,128,64,50,0.25,adam,2,0.3735981285572052
1,128,64,50,0.25,adam,3,0.3806804120540619
1,128,64,50,0.25,rmsprop,1,0.38004398345947266
1,128,64,50,0.25,rmsprop,2,0.3797972798347473
1,128,64,50,0.25,rmsprop,3,0.376951664686203
1,128,64,50,0.5,adam,1,0.3747328817844391
1,128,64,50,0.5,adam,2,0.37887194752693176
1,128,64,50,0.5,adam,3,0.3723175525665283
1,128,64,50,0.5,rmsprop,1,0.3821900486946106
1,128,64,50,0.5,rmsprop,2,0.3768119513988495
1,128,64,50,0.5,rmsprop,3,0.3815760612487793
60,32,32,10,0.0,adam,1,0.34952566027641296
60,32,32,10,0.0,adam,2,0.33543577790260315
60,32,32,10,0.0,adam,3,0.3328435719013214
60,32,32,10,0.0,rmsprop,1,0.364437073469162
60,32,32,10,0.0,rmsprop,2,0.3485283851623535
60,32,32,10,0.0,rmsprop,3,0.3459262251853943
60,32,32,10,0.25,adam,1,0.37493181228637695
60,32,32,10,0.25,adam,2,0.35038918256759644
60,32,32,10,0.25,adam,3,0.37172505259513855
60,32,32,10,0.25,rmsprop,1,0.37943947315216064
60,32,32,10,0.25,rmsprop,2,0.3782709240913391
60,32,32,10,0.25,rmsprop,3,0.35893911123275757
60,32,32,10,0.5,adam,1,0.37014394998550415
60,32,32,10,0.5,adam,2,0.3456961512565613
60,32,32,10,0.5,adam,3,0.35567420721054077
60,32,32,10,0.5,rmsprop,1,0.36463645100593567
60,32,32,10,0.5,rmsprop,2,0.37799325585365295
60,32,32,10,0.5,rmsprop,3,0.35668614506721497
60,32,32,30,0.0,adam,1,0.3431064486503601
60,32,32,30,0.0,adam,2,0.3441320061683655
60,32,32,30,0.0,adam,3,0.3328588902950287
60,32,32,30,0.0,rmsprop,1,0.34215712547302246
60,32,32,30,0.0,rmsprop,2,0.34087634086608887
60,32,32,30,0.0,rmsprop,3,0.3358372747898102
60,32,32,30,0.25,adam,1,0.3437965512275696
60,32,32,30,0.25,adam,2,0.33455780148506165
60,32,32,30,0.25,adam,3,0.33088943362236023
60,32,32,30,0.25,rmsprop,1,0.35299837589263916
60,32,32,30,0.25,rmsprop,2,0.3446771204471588
60,32,32,30,0.25,rmsprop,3,0.3466494381427765
60,32,32,30,0.5,adam,1,0.35811179876327515
60,32,32,30,0.5,adam,2,0.36162182688713074
60,32,32,30,0.5,adam,3,0.329158753156662
60,32,32,30,0.5,rmsprop,1,0.3619953393936157
60,32,32,30,0.5,rmsprop,2,0.34557753801345825
60,32,32,30,0.5,rmsprop,3,0.35761526226997375
60,32,32,50,0.0,adam,1,0.34346577525138855
60,32,32,50,0.0,adam,2,0.3309788107872009
60,32,32,50,0.0,adam,3,0.33559614419937134
60,32,32,50,0.0,rmsprop,1,0.3376120924949646
60,32,32,50,0.0,rmsprop,2,0.3396123945713043
60,32,32,50,0.0,rmsprop,3,0.34115633368492126
60,32,32,50,0.25,adam,1,0.34894809126853943
60,32,32,50,0.25,adam,2,0.3384776711463928
60,32,32,50,0.25,adam,3,0.3307240307331085
60,32,32,50,0.25,rmsprop,1,0.3656151592731476
60,32,32,50,0.25,rmsprop,2,0.3404023051261902
60,32,32,50,0.25,rmsprop,3,0.34245896339416504
60,32,32,50,0.5,adam,1,0.349824994802475
60,32,32,50,0.5,adam,2,0.34394004940986633
60,32,32,50,0.5,adam,3,0.34085577726364136
60,32,32,50,0.5,rmsprop,1,0.35565128922462463
60,32,32,50,0.5,rmsprop,2,0.34254127740859985
60,32,32,50,0.5,rmsprop,3,0.3442368507385254
60,32,64,10,0.0,adam,1,0.34218868613243103
60,32,64,10,0.0,adam,2,0.38455304503440857
60,32,64,10,0.0,adam,3,0.346489280462265
60,32,64,10,0.0,rmsprop,1,0.3862307667732239
60,32,64,10,0.0,rmsprop,2,0.38754764199256897
60,32,64,10,0.0,rmsprop,3,0.3531271815299988
60,32,64,10,0.25,adam,1,0.36285966634750366
60,32,64,10,0.25,adam,2,0.34017661213874817
60,32,64,10,0.25,adam,3,0.35911184549331665
60,32,64,10,0.25,rmsprop,1,0.37559229135513306
60,32,64,10,0.25,rmsprop,2,0.3763680160045624
60,32,64,10,0.25,rmsprop,3,0.3809346854686737
60,32,64,10,0.5,adam,1,0.3572574257850647
60,32,64,10,0.5,adam,2,0.3696726858615875
60,32,64,10,0.5,adam,3,0.3627350330352783
60,32,64,10,0.5,rmsprop,1,0.40317949652671814
60,32,64,10,0.5,rmsprop,2,0.3841991126537323
60,32,64,10,0.5,rmsprop,3,0.3791927099227905
60,32,64,30,0.0,adam,1,0.3429299592971802
60,32,64,30,0.0,adam,2,0.37598559260368347
60,32,64,30,0.0,adam,3,0.3422859311103821
60,32,64,30,0.0,rmsprop,1,0.3749474585056305
60,32,64,30,0.0,rmsprop,2,0.3610321879386902
60,32,64,30,0.0,rmsprop,3,0.3461340367794037
60,32,64,30,0.25,adam,1,0.33904892206192017
60,32,64,30,0.25,adam,2,0.3509584069252014
60,32,64,30,0.25,adam,3,0.3382430672645569
60,32,64,30,0.25,rmsprop,1,0.3765038549900055
60,32,64,30,0.25,rmsprop,2,0.37541115283966064
60,32,64,30,0.25,rmsprop,3,0.35255029797554016
60,32,64,30,0.5,adam,1,0.3509373962879181
60,32,64,30,0.5,adam,2,0.3460855185985565
60,32,64,30,0.5,adam,3,0.3373429477214813
60,32,64,30,0.5,rmsprop,1,0.37834563851356506
60,32,64,30,0.5,rmsprop,2,0.37827068567276
60,32,64,30,0.5,rmsprop,3,0.3474719524383545
60,32,64,50,0.0,adam,1,0.33080539107322693
60,32,64,50,0.0,adam,2,0.32962724566459656
60,32,64,50,0.0,adam,3,0.33985626697540283
60,32,64,50,0.0,rmsprop,1,0.37261447310447693
60,32,64,50,0.0,rmsprop,2,0.38552170991897583
60,32,64,50,0.0,rmsprop,3,0.3397519290447235
60,32,64,50,0.25,adam,1,0.33929482102394104
60,32,64,50,0.25,adam,2,0.35022222995758057
60,32,64,50,0.25,adam,3,0.3352709710597992
60,32,64,50,0.25,rmsprop,1,0.3709839880466461
60,32,64,50,0.25,rmsprop,2,0.373797208070755
60,32,64,50,0.25,rmsprop,3,0.3409809172153473
60,32,64,50,0.5,adam,1,0.35695403814315796
60,32,64,50,0.5,adam,2,0.3431012034416199
60,32,64,50,0.5,adam,3,0.35003530979156494
60,32,64,50,0.5,rmsprop,1,0.36007484793663025
60,32,64,50,0.5,rmsprop,2,0.37618109583854675
60,32,64,50,0.5,rmsprop,3,0.34904420375823975
60,64,32,10,0.0,adam,1,0.3374086320400238
60,64,32,10,0.0,adam,2,0.33759647607803345
60,64,32,10,0.0,adam,3,0.32958027720451355
60,64,32,10,0.0,rmsprop,1,0.3881230056285858
60,64,32,10,0.0,rmsprop,2,0.3731701076030731
60,64,32,10,0.0,rmsprop,3,0.3419452905654907
60,64,32,10,0.25,adam,1,0.34084004163742065
60,64,32,10,0.25,adam,2,0.3358398675918579
60,64,32,10,0.25,adam,3,0.32767921686172485
60,64,32,10,0.25,rmsprop,1,0.362918496131897
60,64,32,10,0.25,rmsprop,2,0.3571639358997345
60,64,32,10,0.25,rmsprop,3,0.37497368454933167
60,64,32,10,0.5,adam,1,0.36663657426834106
60,64,32,10,0.5,adam,2,0.3371220529079437
60,64,32,10,0.5,adam,3,0.3587516248226166
60,64,32,10,0.5,rmsprop,1,0.3664841651916504
60,64,32,10,0.5,rmsprop,2,0.3795478641986847
60,64,32,10,0.5,rmsprop,3,0.37254834175109863
60,64,32,30,0.0,adam,1,0.33699244260787964
60,64,32,30,0.0,adam,2,0.33293071389198303
60,64,32,30,0.0,adam,3,0.33189427852630615
60,64,32,30,0.0,rmsprop,1,0.34515804052352905
60,64,32,30,0.0,rmsprop,2,0.3724735379219055
60,64,32,30,0.0,rmsprop,3,0.341160386800766
60,64,32,30,0.25,adam,1,0.3395957350730896
60,64,32,30,0.25,adam,2,0.33614224195480347
60,64,32,30,0.25,adam,3,0.3341813385486603
60,64,32,30,0.25,rmsprop,1,0.3692694902420044
60,64,32,30,0.25,rmsprop,2,0.37418225407600403
60,64,32,30,0.25,rmsprop,3,0.35032281279563904
60,64,32,30,0.5,adam,1,0.34407275915145874
60,64,32,30,0.5,adam,2,0.3343668282032013
60,64,32,30,0.5,adam,3,0.328871488571167
60,64,32,30,0.5,rmsprop,1,0.36023417115211487
60,64,32,30,0.5,rmsprop,2,0.3421386480331421
60,64,32,30,0.5,rmsprop,3,0.3470027446746826
60,64,32,50,0.0,adam,1,0.3469463586807251
60,64,32,50,0.0,adam,2,0.33036527037620544
60,64,32,50,0.0,adam,3,0.3309609293937683
60,64,32,50,0.0,rmsprop,1,0.3760327696800232
60,64,32,50,0.0,rmsprop,2,0.33870118856430054
60,64,32,50,0.0,rmsprop,3,0.33631953597068787
60,64,32,50,0.25,adam,1,0.33855146169662476
60,64,32,50,0.25,adam,2,0.35637426376342773
60,64,32,50,0.25,adam,3,0.33999907970428467
60,64,32,50,0.25,rmsprop,1,0.3797066807746887
60,64,32,50,0.25,rmsprop,2,0.34206146001815796
60,64,32,50,0.25,rmsprop,3,0.3448079526424408
60,64,32,50,0.5,adam,1,0.34363389015197754
60,64,32,50,0.5,adam,2,0.3341890275478363
60,64,32,50,0.5,adam,3,0.33404621481895447
60,64,32,50,0.5,rmsprop,1,0.34267693758010864
60,64,32,50,0.5,rmsprop,2,0.33589956164360046
60,64,32,50,0.5,rmsprop,3,0.35253044962882996
60,64,64,10,0.0,adam,1,0.3461197316646576
60,64,64,10,0.0,adam,2,0.33780643343925476
60,64,64,10,0.0,adam,3,0.3365842401981354
60,64,64,10,0.0,rmsprop,1,0.39569956064224243
60,64,64,10,0.0,rmsprop,2,0.3595878481864929
60,64,64,10,0.0,rmsprop,3,0.36883416771888733
60,64,64,10,0.25,adam,1,0.35879772901535034
60,64,64,10,0.25,adam,2,0.3478640615940094
60,64,64,10,0.25,adam,3,0.3350640833377838
60,64,64,10,0.25,rmsprop,1,0.37136614322662354
60,64,64,10,0.25,rmsprop,2,0.3787729740142822
60,64,64,10,0.25,rmsprop,3,0.3623539209365845
60,64,64,10,0.5,adam,1,0.3444097638130188
60,64,64,10,0.5,adam,2,0.35182347893714905
60,64,64,10,0.5,adam,3,0.35204431414604187
60,64,64,10,0.5,rmsprop,1,0.3785976469516754
60,64,64,10,0.5,rmsprop,2,0.3775671124458313
60,64,64,10,0.5,rmsprop,3,0.3638068437576294
60,64,64,30,0.0,adam,1,0.34241294860839844
60,64,64,30,0.0,adam,2,0.3383241593837738
60,64,64,30,0.0,adam,3,0.33834758400917053
60,64,64,30,0.0,rmsprop,1,0.36752134561538696
