model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,1,32,64,50,0.25,rmsprop,3,0.3882
GRU,1,32,64,50,0.5,adam,1,0.3736
GRU,1,32,64,50,0.5,adam,2,0.3749
GRU,1,32,64,50,0.5,adam,3,0.3809
GRU,1,32,64,50,0.5,rmsprop,1,0.379
GRU,1,32,64,50,0.5,rmsprop,2,0.3801
GRU,1,32,64,50,0.5,rmsprop,3,0.3727
GRU,1,64,32,10,0.0,adam,1,0.3825
GRU,1,64,32,10,0.0,adam,2,0.3642
GRU,1,64,32,10,0.0,adam,3,0.3711
GRU,1,64,32,10,0.0,rmsprop,1,0.3833
GRU,1,64,32,10,0.0,rmsprop,2,0.3777
GRU,1,64,32,10,0.0,rmsprop,3,0.3787
GRU,1,64,32,10,0.25,adam,1,0.3755
GRU,1,64,32,10,0.25,adam,2,0.4004
GRU,1,64,32,10,0.25,adam,3,0.3774
GRU,1,64,32,10,0.25,rmsprop,1,0.3812
GRU,1,64,32,10,0.25,rmsprop,2,0.3825
GRU,1,64,32,10,0.25,rmsprop,3,0.3824
GRU,1,64,32,10,0.5,adam,1,0.3808
GRU,1,64,32,10,0.5,adam,2,0.3729
GRU,1,64,32,10,0.5,adam,3,0.3812
GRU,1,64,32,10,0.5,rmsprop,1,0.385
GRU,1,64,32,10,0.5,rmsprop,2,0.3707
GRU,1,64,32,10,0.5,rmsprop,3,0.3805
GRU,1,64,32,30,0.0,adam,1,0.388
GRU,1,64,32,30,0.0,adam,2,0.3812
GRU,1,64,32,30,0.0,adam,3,0.3744
GRU,1,64,32,30,0.0,rmsprop,1,0.3803
GRU,1,64,32,30,0.0,rmsprop,2,0.3769
GRU,1,64,32,30,0.0,rmsprop,3,0.3716
GRU,1,64,32,30,0.25,adam,1,0.385
GRU,1,64,32,30,0.25,adam,2,0.3811
GRU,1,64,32,30,0.25,adam,3,0.3811
GRU,1,64,32,30,0.25,rmsprop,1,0.3794
GRU,1,64,32,30,0.25,rmsprop,2,0.3791
GRU,1,64,32,30,0.25,rmsprop,3,0.3833
GRU,1,64,32,30,0.5,adam,1,0.3699
GRU,1,64,32,30,0.5,adam,2,0.3742
GRU,1,64,32,30,0.5,adam,3,0.3799
GRU,1,64,32,30,0.5,rmsprop,1,0.3824
GRU,1,64,32,30,0.5,rmsprop,2,0.3851
GRU,1,64,32,30,0.5,rmsprop,3,0.3752
GRU,1,64,32,50,0.0,adam,1,0.3803
GRU,1,64,32,50,0.0,adam,2,0.3726
GRU,1,64,32,50,0.0,adam,3,0.3753
GRU,1,64,32,50,0.0,rmsprop,1,0.381
GRU,1,64,32,50,0.0,rmsprop,2,0.3803
GRU,1,64,32,50,0.0,rmsprop,3,0.3766
GRU,1,64,32,50,0.25,adam,1,0.3774
GRU,1,64,32,50,0.25,adam,2,0.3715
GRU,1,64,32,50,0.25,adam,3,0.3653
GRU,1,64,32,50,0.25,rmsprop,1,0.3864
GRU,1,64,32,50,0.25,rmsprop,2,0.3753
GRU,1,64,32,50,0.25,rmsprop,3,0.3739
GRU,1,64,32,50,0.5,adam,1,0.3724
GRU,1,64,32,50,0.5,adam,2,0.3785
