model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,1,32,64,50,0.25,adam,2,0.3741092085838318
LSTM,1,32,64,50,0.25,adam,3,0.3688783347606659
LSTM,1,32,64,50,0.25,rmsprop,1,0.3770063519477844
LSTM,1,32,64,50,0.25,rmsprop,2,0.3753138184547424
LSTM,1,32,64,50,0.25,rmsprop,3,0.3796162903308868
LSTM,1,32,64,50,0.5,adam,1,0.3796755373477936
LSTM,1,32,64,50,0.5,adam,2,0.3755321204662323
LSTM,1,32,64,50,0.5,adam,3,0.3800047039985657
LSTM,1,32,64,50,0.5,rmsprop,1,0.3815447688102722
LSTM,1,32,64,50,0.5,rmsprop,2,0.3784497380256653
LSTM,1,32,64,50,0.5,rmsprop,3,0.3755862712860107
LSTM,1,64,32,10,0.0,adam,1,0.3711083531379699
LSTM,1,64,32,10,0.0,adam,2,0.3762203454971313
LSTM,1,64,32,10,0.0,adam,3,0.3727719187736511
LSTM,1,64,32,10,0.0,rmsprop,1,0.3777539134025574
LSTM,1,64,32,10,0.0,rmsprop,2,0.3731906414031982
LSTM,1,64,32,10,0.0,rmsprop,3,0.3729186952114105
LSTM,1,64,32,10,0.25,adam,1,0.3764157295227051
LSTM,1,64,32,10,0.25,adam,2,0.3737839460372925
LSTM,1,64,32,10,0.25,adam,3,0.3726612329483032
LSTM,1,64,32,10,0.25,rmsprop,1,0.3748453855514526
LSTM,1,64,32,10,0.25,rmsprop,2,0.3793860673904419
LSTM,1,64,32,10,0.25,rmsprop,3,0.3764410614967346
LSTM,1,64,32,10,0.5,adam,1,0.3795862197875976
LSTM,1,64,32,10,0.5,adam,2,0.3730151057243347
LSTM,1,64,32,10,0.5,adam,3,0.3821277916431427
LSTM,1,64,32,10,0.5,rmsprop,1,0.3770433664321899
LSTM,1,64,32,10,0.5,rmsprop,2,0.3822537362575531
LSTM,1,64,32,10,0.5,rmsprop,3,0.3817677497863769
LSTM,1,64,32,30,0.0,adam,1,0.3736461400985718
LSTM,1,64,32,30,0.0,adam,2,0.3734088242053985
LSTM,1,64,32,30,0.0,adam,3,0.3895895481109619
LSTM,1,64,32,30,0.0,rmsprop,1,0.3759944438934326
LSTM,1,64,32,30,0.0,rmsprop,2,0.3781155943870544
LSTM,1,64,32,30,0.0,rmsprop,3,0.3755277395248413
LSTM,1,64,32,30,0.25,adam,1,0.379528284072876
LSTM,1,64,32,30,0.25,adam,2,0.3759620189666748
LSTM,1,64,32,30,0.25,adam,3,0.3689866662025451
LSTM,1,64,32,30,0.25,rmsprop,1,0.3799195885658264
LSTM,1,64,32,30,0.25,rmsprop,2,0.3831758499145508
LSTM,1,64,32,30,0.25,rmsprop,3,0.3786782324314117
LSTM,1,64,32,30,0.5,adam,1,0.3723241984844208
LSTM,1,64,32,30,0.5,adam,2,0.3792329132556915
LSTM,1,64,32,30,0.5,adam,3,0.3818319737911224
LSTM,1,64,32,30,0.5,rmsprop,1,0.3800337016582489
LSTM,1,64,32,30,0.5,rmsprop,2,0.3769673705101013
LSTM,1,64,32,30,0.5,rmsprop,3,0.3763900995254516
LSTM,1,64,32,50,0.0,adam,1,0.3728840351104736
LSTM,1,64,32,50,0.0,adam,2,0.3741069734096527
LSTM,1,64,32,50,0.0,adam,3,0.3792630434036255
LSTM,1,64,32,50,0.0,rmsprop,1,0.3748111128807068
LSTM,1,64,32,50,0.0,rmsprop,2,0.3762166202068329
