05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,0,1,1,1,1,2,0,3,3,0,1,2,0,0,0,0,0,0,하차,02995,7111000700,가창면사무소앞,2019-01-01,15,대구광역시 달성군 가창면
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,승차,01965,7111045600,가창중학교건너,2019-01-01,3,대구광역시 달성군 가창면
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,승차,01518,7111045700,가창중학교앞,2019-01-01,3,대구광역시 달성군 가창면
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,하차,01518,7111045700,가창중학교앞,2019-01-01,3,대구광역시 달성군 가창면
0,2,6,3,5,3,4,1,10,0,2,5,2,11,1,0,0,1,0,승차,01519,7111045800,가창초등학교건너,2019-01-01,56,대구광역시 달성군 가창면
0,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,3,0,0,하차,01519,7111045800,가창초등학교건너,2019-01-01,10,대구광역시 달성군 가창면
1,1,1,1,6,3,1,5,5,0,3,1,1,0,3,0,0,0,0,승차,02596,7111045900,가창초등학교앞,2019-01-01,32,대구광역시 달성군 가창면
0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,승차,04021,7061058600,가천동건너,2019-01-01,3,대구광역시 수성구 고산2동
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,승차,02682,7111027800,가천리,2019-01-01,1,대구광역시 달성군 유가면
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,승차,02932,7111064200,가태리마을회관건너,2019-01-01,2,대구광역시 달성군 유가면
0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,4,0,승차,03959,7011059300,각산비나리공원건너,2019-01-01,11,대구광역시 동구 안심3.4동
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,하차,03959,7011059300,각산비나리공원건너,2019-01-01,2,대구광역시 동구 안심3.4동
4,0,3,7,6,6,0,1,5,5,9,0,4,1,0,1,0,0,0,승차,03958,7011059200,각산비나리공원앞,2019-01-01,52,대구광역시 동구 안심3.4동
0,0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,하차,03958,7011059200,각산비나리공원앞,2019-01-01,7,대구광역시 동구 안심3.4동
1,1,0,4,3,2,4,2,3,3,9,8,3,4,3,2,7,9,0,승차,01272,7011038100,각산역(1번출구),2019-01-01,68,대구광역시 동구 안심3.4동
0,1,1,1,2,2,1,0,3,5,0,5,2,0,2,0,1,0,0,하차,01272,7011038100,각산역(1번출구),2019-01-01,26,대구광역시 동구 안심3.4동
1,0,0,0,0,4,2,2,1,5,2,0,2,3,1,3,3,2,1,승차,01291,7011038000,각산역(2번출구),2019-01-01,32,대구광역시 동구 안심3.4동
0,0,0,2,2,1,0,0,0,4,2,0,1,3,2,3,4,2,0,하차,01291,7011038000,각산역(2번출구),2019-01-01,26,대구광역시 동구 안심3.4동
1,0,2,2,3,11,0,3,14,11,7,1,2,4,2,2,2,2,0,승차,09273,7011051900,각산푸르지오건너,2019-01-01,69,대구광역시 동구 안심3.4동
0,0,6,1,2,4,0,3,2,3,8,1,2,0,3,1,0,2,0,하차,09273,7011051900,각산푸르지오건너,2019-01-01,38,대구광역시 동구 안심3.4동
0,3,2,5,0,0,1,0,1,1,2,0,6,3,3,0,2,1,0,승차,09272,7011051800,각산푸르지오앞,2019-01-01,30,대구광역시 동구 안심3.4동
0,0,1,1,0,1,4,3,4,1,0,4,2,6,0,2,8,3,0,하차,09272,7011051800,각산푸르지오앞,2019-01-01,40,대구광역시 동구 안심3.4동
0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,승차,05506,7111028400,갈실마을회관종점,2019-01-01,5,대구광역시 달성군 논공읍
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,01368,7111015600,감문1리1,2019-01-01,1,대구광역시 달성군 하빈면
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,승차,02655,7111015700,감문1리2,2019-01-01,3,대구광역시 달성군 하빈면
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,승차,04594,7111044400,감문1리4,2019-01-01,1,대구광역시 달성군 하빈면
7,6,14,6,12,6,7,9,18,18,14,17,22,28,13,24,33,21,6,승차,02275,7031004100,감삼네거리1,2019-01-01,281,대구광역시 서구 내당4동
1,1,4,3,4,3,8,7,7,7,8,8,5,8,7,2,4,2,0,하차,02275,7031004100,감삼네거리1,2019-01-01,89,대구광역시 서구 내당4동
5,15,23,20,14,21,21,14,44,36,42,41,37,40,27,32,49,25,1,승차,00935,7041024200,감삼네거리2,2019-01-01,507,대구광역시 달서구 두류3동
2,7,1,9,10,13,8,16,15,16,17,17,18,14,21,7,13,5,2,하차,00935,7041024200,감삼네거리2,2019-01-01,211,대구광역시 달서구 두류3동
4,3,1,6,8,9,6,6,7,6,5,3,4,10,3,5,3,3,0,승차,09238,7041010600,감삼초등학교건너,2019-01-01,92,대구광역시 달서구 성당2동
0,1,0,1,0,1,2,4,4,2,1,1,0,1,0,1,0,0,0,하차,09238,7041010600,감삼초등학교건너,2019-01-01,19,대구광역시 달서구 성당2동
3,4,3,6,7,3,1,5,1,6,7,3,5,5,5,3,7,2,0,승차,05178,7041010700,감삼초등학교앞,2019-01-01,76,대구광역시 달서구 감삼동
0,0,0,1,1,1,0,1,0,3,0,2,1,2,4,0,2,0,0,하차,05178,7041010700,감삼초등학교앞,2019-01-01,18,대구광역시 달서구 감삼동
0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,승차,01613,7011033900,갓골건너,2019-01-01,5,대구광역시 동구 도평동
7,5,7,56,118,77,93,98,181,190,161,162,69,31,17,7,0,1,0,승차,03599,7011036000,갓바위,2019-01-01,1280,대구광역시 동구 공산동
0,3,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,하차,03599,7011036000,갓바위,2019-01-01,12,대구광역시 동구 공산동
8,16,16,37,37,36,55,67,82,68,56,58,61,61,34,21,25,17,0,승차,02048,7021025000,강남약국건너,2019-01-01,755,대구광역시 북구 대현2동
1,1,2,7,10,13,11,12,19,17,13,10,10,9,11,11,8,3,0,하차,02048,7021025000,강남약국건너,2019-01-01,168,대구광역시 북구 대현2동
