title,link,description,pubDate
"꺼져가는 지역경제 불씨…코레일, 관광열차가 살린다",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202505071116383660121,지역사회에 관광객 방문을 활성화할 수 있는 각종 <b>여행</b>상품을 출시하며 온기가 돌고 있다. 코레일은 현재 ‘지역사랑 철도<b>여행</b>’ 상품을 운영하고 있다. ‘지역사랑 철도<b>여행</b>’은 국민의 <b>여행</b>경비 부담을 줄이고... ,"Wed, 07 May 2025 16:22:00 +0900"
"국내 홍역 환자, 전년 동기 대비 증가...해외<b>여행</b> 감염 주의",https://idsn.co.kr/news/view/1065597531829573,"해외<b>여행</b>을 다녀온 국민의 경우 귀국 후 3주 이내 발열이나 발진 등 증상이 있다면 즉시 의료기관을 방문해... 해외<b>여행</b> 중 감염되어 국내에 입국 후 확진된 해외유입 사례는 69.2%(36명)이다. 이 중 33명은 배트남, 1명은... ","Wed, 07 May 2025 16:22:00 +0900"
"신한은행, 을지로입구역에 'SOL트래블 라운지' 6호점 개점",https://www.newspost.kr/news/articleView.html?idxno=213820,"신한은행 관계자는 &quot;해외로 떠나는 <b>여행</b>객과 외국인 관광객이 'SOL트래블 라운지'를 통해 편리한 환전 서비스를 이용하시길 바란다&quot;며 &quot;앞으로도 전국 주요 거점으로 확대 설치하고, 다양한 상품과 서비스로 금융... ","Wed, 07 May 2025 16:22:00 +0900"
"진도군, 2025 관광두레 참여 모집···최대 8천만 원 지원",https://n.news.naver.com/mnews/article/382/0001195529?sid=102,"이번 모집은 진도군에 거주하는 3인 이상의 주민공동체를 대상으로 하며, 숙박, 체험, 식음, 기념품, 주민<b>여행</b>사 등 관광 관련 사업을 준비 중이거나 이미 운영 중인 공동체가 지원할 수 있고, 선정된 공동체에는 최대... ","Wed, 07 May 2025 16:21:00 +0900"
"에픽하이, 유튜브 구독자 100만 달성…스펙트럼 확장",https://m.entertain.naver.com/article/421/0008235635,"에픽하이는 유튜브를 또 하나의 무대로 확장하며 사주, 칵테일 제조, 정신건강 상담, <b>여행</b> 등 주제에 제한 없는 다채로운 콘텐츠로 자신들만의 이야기를 써내려 가고 있다. 에픽하이만의 음악적 진심과 인간적인 매력을... ","Wed, 07 May 2025 16:21:00 +0900"
"토스, 틴즈 가입 청소년 누적 300만명 돌파",https://www.ekn.kr/web/view.php?key=20250507022004347,월 평균 63만명이 사용하는 저금통은 아이들이 스스로 목표를 세워 저축할 수 있을 뿐 아니라 부모와 함께 <b>여행</b>이나 선물 같은 목표를 정해 저축하며 새로운 공감대를 형성할 수도 있다. 급식표·시간표 등 교내 생활에... ,"Wed, 07 May 2025 16:20:00 +0900"
"하나투어, 싱가포르 만다이 그룹과 업무협약 체결",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005546803,"하나투어 관계자는 &quot;이번 협약은 자연, 생태 기반의 지속가능한 친환경 <b>여행</b>을 위한 전략적 업무협약&quot;이라며 &quot;싱가포르 지역 내 차별화된 상품 개발로 고객 만족도를 높이고 글로벌 제휴를 확대해 나갈 것&quot;이라고... ","Wed, 07 May 2025 16:20:00 +0900"
"신한은행, 을지로입구역에 'SOL트래블 라운지' 6호점 오픈",http://www.whitepaper.co.kr/news/articleView.html?idxno=246086,'SOL트래블 라운지'는 그룹의 대표 <b>여행</b>자카드인 'SOL트래블카드'의 브랜드를 오프라인으로 확장한... 신한은행 관계자는 &quot;해외로 떠나는 <b>여행</b>객 및 외국인 관광객이 SOL트래블라운지로 편리한 환전 서비스를... ,"Wed, 07 May 2025 16:20:00 +0900"
연극·뮤지컬·윤종신까지···5월 내내 즐길거리 풍성,https://www.iusm.co.kr/news/articleView.html?idxno=1051060,"작품은 유람선을 타고 <b>여행</b> 중이던 소녀가 사랑하는 인형을 바다에 빠뜨리면서, 인형이 소녀를 만나기 위해 바닷속을 <b>여행</b>하는 판타지를 기발하게 이야기한다. 책 속에서 상상만 했던 집이 두 눈앞에 펼쳐지는 환상적인... ","Wed, 07 May 2025 16:20:00 +0900"
"놀유니버스, 오직 NOL 회원만을 위한 혜택 선보여",http://www.lawissue.co.kr/view.php?ud=202505071617152859204ead0791_12,이외에도 이달 말일까지 전체 고객 대상으로 최대 16만 원 국내 <b>여행</b> 할인 혜택과 최대 35만 원 상당의 해외 <b>여행</b> 쿠폰팩을 발급한다. NOL 회원이라면 누구나 참여할 수 있는 경품 추첨 이벤트 ‘NOL DRAW(놀 드로우)’도... ,"Wed, 07 May 2025 16:20:00 +0900"
"순천시, 연휴 36만명 방문··· 245억 효과",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160291943425465,생태ㆍ가족 <b>여행</b>지로서의 입지를 굳건히 했다고 7일 밝혔다. 이에 약 245억원 규모의 직접 및 간접 경제효과가 발생한 것으로 추산되며 순천 경제 활성화의 마중물 역할을 톡톡히 해냈다는 평가다. 특히 지난 4일... ,"Wed, 07 May 2025 16:20:00 +0900"
"전남도, 5월 방문의 달 맞아 ‘남도정원 산책’ 선보여",https://n.news.naver.com/mnews/article/382/0001195525?sid=102,정원을 <b>여행</b>하는 ‘남도정원 산책’ 코스를 선보인다. 이는 2023순천만국제정원박람회 성공 개최 이후 남도... <b>여행</b>하고 싶은 테마별 정원코스를 선택하면 정원의 특징과 주변 정원들과 연계해 <b>여행</b>할 코스를 안내하는 등... ,"Wed, 07 May 2025 16:20:00 +0900"
백화점·대형마트 5월 황금연휴 호실적에 '함박웃음',https://n.news.naver.com/mnews/article/001/0015373826?sid=101,롯데마트 관계자는 &quot;비용 부담으로 긴 연휴에도 <b>여행</b>을 가지 않는 '집콕족'이 많아지면서 덩달아 집밥... 보면 '집에서 휴식을 취한다'는 응답(36.1%)이 근교 나들이(21.7%) 또는 국내 <b>여행</b>을 간다는 응답(13.4%)을 앞섰다.,"Wed, 07 May 2025 16:19:00 +0900"
‘부산 도심 속 힐링 <b>여행</b>’…부산진구 힐링투어버스 출발,https://n.news.naver.com/mnews/article/014/0005346088?sid=102,"도심 한가운데서 역사와 자연, 문화체험을 모두 즐길 수 있는 새로운 관광 콘텐츠가 부산 시민과 관광객을 찾는다. 부산시 부산진구는 오는 10일부터 10월 말까지 ‘부산진 힐링투어버스’를 본격 운행한다고 7일 밝혔다.... ","Wed, 07 May 2025 16:19:00 +0900"
"코레일 '지역사랑 철도<b>여행</b>', 인구감소지역 활성화 구원투수",https://www.bizwork.co.kr/news/articleView.html?idxno=401381,"한국철도공사(코레일)은 '지역사랑 철도<b>여행</b>' 상품이 출시 8개월 만에 8만명이 이용하는 성과를 냈다고 7일 밝혔다. 지역사랑 철도<b>여행</b>은 코레일과 국토교통부·행정안전부 등 정부 부처, 한국관광공사, 한국농어촌공사 및... ","Wed, 07 May 2025 16:18:00 +0900"
연휴 동안 경북 포항에 17만명 다녀가…“관광도시 포항 매력”,https://n.news.naver.com/mnews/article/081/0003539413?sid=102,"앞서 포항은 디지털 <b>여행</b> 플랫폼 ‘부킹닷컴’이 황금연휴 국내 <b>여행</b> 트렌드 조사에서 검색 증가율 1위를 기록한 데 이어, 실제 방문 수치에서도 인기를 입증했다. 단 4일 만에 올해 설 연휴(6일, 15만 6680명) 기간 대비... ","Wed, 07 May 2025 16:18:00 +0900"
'월간 남해' 구독<b>여행</b> 상품 출시,https://www.newsgn.com/news/articleView.html?idxno=481391,"남해관광문화재단은 아이와 함께 매월 남해를 체험할 수 있는 구독형 <b>여행</b> 상품 '월간 남해'를 이달 7일 출시했다. '월간 남해'는 한 번의 결제로 5월부터 11월까지 매월 1회씩, 총 7회의 남해 <b>여행</b> 프로그램에 참여할 수... ","Wed, 07 May 2025 16:18:00 +0900"
[기업] 관광박람회 '2025 올댓트래블' 내일 코엑스 개최...200여 기업 참...,https://n.news.naver.com/mnews/article/052/0002189928?sid=101,"특히 올해는 AI와 AR, 모빌리티, 큐레이션 기반의 스마트 <b>여행</b> 서비스를 선보이는 스타트업이나 지역... 또 하나투어를 비롯한 국내외 20여 개 <b>여행</b>사도 참가해 동남아와 유럽 등 여름 휴가 패키지를 최대 10만 원 이상... ","Wed, 07 May 2025 16:18:00 +0900"
