연령대,선호1,선호2,선호3,선호4,선호5
10대,휴대폰 단말기 광고 (0.0740%),치킨전문점 광고 (0.0736%),라면 광고 (0.0615%),피자전문점 광고 (0.0612%),햄버거/샌드위치 광고 (0.0586%)
20대,휴대폰 단말기 광고 (0.0599%),치킨전문점 광고 (0.0595%),자동차 광고 (0.0547%),해외여행 광고 (0.0534%),맥주 광고 (0.0509%)
30대,자동차 광고 (0.0581%),휴대폰 단말기 광고 (0.0498%),맥주 광고 (0.0465%),치킨전문점 광고 (0.0458%),해외여행 광고 (0.0452%)
40대,자동차 광고 (0.0607%),해외여행 광고 (0.0474%),치킨전문점 광고 (0.0450%),휴대폰 단말기 광고 (0.0449%),맥주 광고 (0.0446%)
50대 이상,자동차 광고 (0.0524%),해외여행 광고 (0.0424%),맥주 광고 (0.0390%),건강보조식품 광고 (0.0385%),치킨전문점 광고 (0.0383%)
