rank,cctvUid,cctvNm,cctvCount,lat,lon
1418,CTV0000935,만촌1동1221-13_북쪽삼거리_101285,5219,35.873909,128.654545
1419,CTV0000799,만촌1동375-8_101144,5219,35.875686,128.646715
1420,CTV0000015,매호동1333(나래어린이공원)_100248,5213,35.843101,128.699911
1421,CTV0002221,황금2동706-13_서쪽_101551,5189,35.849843,128.62144
1422,CTV0001845,본관동편(욱수10)_,5183,35.831124,128.707641
1423,CTV0001488,노변동407-4(사직단)_300063,5178,35.830486,128.702193
1424,CTV0001046,삼덕동148_101396,5170,35.833289,128.677408
1425,CTV0002663,후문_차량출입문(경동),5157,35.8521375,128.6395086
1426,CTV0002514,본관측편(동일04),5151,35.85801,128.616951
1427,CTV0000695,상동397-6_동쪽_100981,5139,35.831616,128.614321
1428,CTV0000516,이천동655-144_100800,5131,35.846702,128.607594
1429,CTV0002640,북문주차장(동천06),5112,35.865813,128.625014
1430,CTV0000934,만촌1동64-7_동쪽삼거리_북쪽_101284,5109,35.873144,128.644363
1431,CTV0002052,정문운동장쪽(동천16),5106,35.865813,128.625014
1432,CTV0000348,수성4가동1190-42_100461,5096,35.862106,128.612343
1433,CTV0000913,범어4동65-71_101263,5094,35.856797,128.641436
1434,CTV0000672,범어2동403-15_100958,5094,35.862427,128.63852
1435,CTV0002646,주차장6(들안길14),5086,35.8389183,128.6183819
1436,CTV0000189,시지동509-1_100126,5078,35.840915,128.697881
1437,CTV0001166,지산1동413-1_북동쪽_101523,5078,35.823737,128.639341
1438,CTV0000903,매호동100-1_101253,5040,35.8552,128.709555
1439,CTV0001765,남문(동산06),5037,35.84907,128.627928
1440,CTV0002465,본관현관(노변06),5029,35.8377186,128.6974833
1441,CTV0000661,신매동596-6_서쪽_100947,5009,35.832323,128.704847
1442,CTV0002438,본관서쪽출입문(지봉08),5005,35.825289,128.640523
1443,CTV0001120,황금2동869-8_남쪽_101477,4992,35.842504,128.620324
1444,CTV0000874,파동488-14_북동쪽_101224,4991,35.806447,128.621114
