cctvUid,cctvNm,lat,lon,cctvCount,boongi
CTV0000274,만촌1동665-3_100332,35.866695,128.643432,34,1
CTV0000275,만촌1동666-4_100333,35.868794,128.643347,79,1
CTV0000276,만촌1동667-10_100334,35.867289,128.64347,69,1
CTV0000278,만촌1동668-13_100336,35.867812,128.644156,183,1
CTV0000277,만촌1동668-38_100335,35.867178,128.644002,30,1
CTV0000353,만촌1동673-7_100527,35.87025,128.645812,330,1
CTV0000487,만촌1동674-12_100729,35.871055,128.647096,101,1
CTV0000674,만촌1동676-28_100960,35.869702,128.646788,232,1
CTV0000115,만촌1동677-36_100029,35.870237,128.647478,34,1
CTV0000489,만촌1동685-22_100748,35.869211,128.646098,79,1
CTV0001335,만촌1동79-1맞은편_100531,35.8751408,128.6527116,16,1
CTV0000501,만촌1동87-6_1_100764,35.877942,128.649866,87,1
CTV0000502,만촌1동87-6_2_100765,35.878185,128.649971,62,1
CTV0001125,만촌2동1001-42_101482,35.862365,128.646355,54,1
CTV0001126,만촌2동1001-42_남서쪽_101483,35.862365,128.646355,14,1
CTV0000365,만촌2동1001-6_100554,35.862626,128.64544,82,1
CTV0000531,만촌2동1005-31_100817,35.864135,128.646737,94,1
CTV0000532,만촌2동1005-31_서쪽_100818,35.864135,128.646737,50,1
CTV0000114,만촌2동1006-11_100028,35.863288,128.645718,162,1
CTV0000031,만촌2동1006-2(청구어린이공원)_100428,35.863207,128.646079,158,1
CTV0000262,만촌2동1009-15_100270,35.863274,128.642791,82,1
CTV0000601,만촌2동1009-25_100887,35.862597,128.6434,134,1
CTV0000602,만촌2동1009-25_동쪽_100888,35.862597,128.6434,35,1
CTV0000146,만촌2동1011-1_100069,35.861147,128.643707,114,1
CTV0000340,만촌2동1016-60_100453,35.8625,128.642394,50,1
CTV0000295,만촌2동1016-87_100355,35.861554,128.641912,49,1
CTV0000184,만촌2동1017-11_100120,35.862596,128.642834,45,1
CTV0000046,만촌2동1017-2(동원어린이공원)_100443,35.862045,128.643286,289,1
CTV0000742,만촌2동1018-23_101029,35.863036,128.64077,47,1
CTV0000743,만촌2동1018-23_남서쪽_101030,35.863036,128.64077,23,1
CTV0000169,만촌2동1018-48_100104,35.862707,128.641501,562,1
CTV0001073,만촌2동1021-18_101426,35.861386,128.64071,25,1
CTV0000967,만촌2동1022-6_101317,35.86186,128.640894,94,1
CTV0000259,만촌2동1022-6_동쪽_100260,35.86187,128.640905,63,1
CTV0000047,만촌2동1023-11(광명어린이공원)_100444,35.860035,128.641518,439,1
CTV0000101,만촌2동1023-17_100013,35.859948,128.642065,177,1
CTV0001071,만촌2동1027-1_101424,35.860757,128.642181,96,1
CTV0001072,만촌2동1027-1_남쪽_101425,35.860757,128.642181,86,1
CTV0000378,만촌2동1029-9_100615,35.860423,128.644859,131,1
CTV0000125,만촌2동1030-1_100040,35.860614,128.644108,11,1
CTV0001362,만촌2동738-4_100586,35.857202,128.650207,45,1
CTV0001204,만촌2동934_정문옆(동원초교)_100225,35.86583235,128.6400991,89,1
CTV0001207,만촌2동935-1_100228,35.864738,128.639248,154,1
CTV0000280,만촌2동935-19_100338,35.864192,128.639392,106,1
CTV0001331,만촌2동935-24_100525,35.86483,128.640321,140,1
CTV0001206,만촌2동935-30_100227,35.863995,128.640192,30,1
CTV0000282,만촌2동952-6_100340,35.864608,128.64088,93,1
CTV0000285,만촌2동958-3_100343,35.865133,128.641696,80,1
CTV0000283,만촌2동959-5_100341,35.864156,128.640794,91,1
CTV0000284,만촌2동960-3_100342,35.863833,128.64157,82,1
CTV0000281,만촌2동960-33_100339,35.863291,128.64015,29,1
CTV0000286,만촌2동960-57_100344,35.863622,128.642641,53,1
CTV0000289,만촌2동961-2_100347,35.864418,128.642695,68,1
CTV0000288,만촌2동961-21_100346,35.865107,128.643006,71,1
CTV0000182,만촌2동962-9_100118,35.863674,128.643548,352,1
CTV0000287,만촌2동963-3_100345,35.865624,128.642295,85,1
CTV0000383,만촌2동964-8_100625,35.861408,128.649125,47,1
CTV0000835,만촌2동965-8_101185,35.865321,128.643362,119,1
CTV0000836,만촌2동965-8_북쪽_101186,35.865321,128.643362,22,1
CTV0000970,만촌2동972-16_101320,35.866871,128.644753,150,1
CTV0000971,만촌2동972-16_남쪽_101321,35.866871,128.644753,37,1
CTV0001421,만촌2동973-38(만촌초교)_101086,35.866534,128.645874,30,1
CTV0001422,만촌2동973-38(만촌초교)서쪽_101087,35.866534,128.645874,21,1
CTV0001360,만촌2동975-20_100584,35.867134,128.646932,75,1
CTV0000972,만촌2동975-24_101322,35.867822,128.647151,31,1
CTV0000973,만촌2동975-24_동쪽_101323,35.867822,128.647151,55,1
CTV0001361,만촌2동976-52(색동유치원)_100585,35.86776,128.648053,30,1
CTV0000776,만촌2동977-1_101063,35.869297,128.64834,23,1
CTV0000777,만촌2동977-1_남쪽_101064,35.869297,128.64834,31,1
CTV0000778,만촌2동978-23_101065,35.86624,128.648989,18,1
CTV0000779,만촌2동978-23_북쪽_101066,35.86624,128.648989,41,1
CTV0001201,만촌2동979-10_100222,35.867186,128.648327,83,1
CTV0000183,만촌2동979-21_100119,35.865621,128.648552,29,1
CTV0001203,만촌2동981-31_100224,35.866299,128.647506,167,1
CTV0000181,만촌2동982-47_100117,35.86576584,128.6464642,46,1
CTV0001423,만촌2동983-27_동쪽_(만촌어린이집)_101088,35.865479,128.643911,45,1
CTV0001424,만촌2동983-27_서쪽_(만촌어린이집)_101089,35.865479,128.643911,59,1
CTV0001285,만촌2동983-39(만촌어린이집)_100425,35.865975,128.645001,94,1
CTV0000394,만촌2동984-10_100636,35.865149,128.645237,73,1
CTV0000837,만촌2동985-3_101187,35.864436,128.644499,37,1
CTV0000838,만촌2동985-3_북쪽_101188,35.864436,128.644499,30,1
CTV0000479,만촌2동990-41_100721,35.865062,128.645996,24,1
CTV0000480,만촌2동990-51_100722,35.865504,128.647051,50,1
CTV0001475,만촌2동991-5(만촌초교)_101463,35.866716,128.648429,37,1
CTV0001202,만촌2동991-5_서쪽_100223,35.866716,128.648429,8,1
CTV0000026,만촌2동991-8(무열어린이공원)_100288,35.865537,128.647839,41,1
CTV0000145,만촌2동992-52_100068,35.864482,128.647602,42,1
CTV0000841,만촌2동992-56_101191,35.864092,128.648076,108,1
CTV0000533,만촌2동995-13_100819,35.861949,128.647601,592,1
CTV0000534,만촌2동995-13_북쪽_100820,35.861949,128.647601,24,1
CTV0000839,만촌2동997-11_101189,35.860569,128.646286,62,1
CTV0000840,만촌2동997-11_서쪽_101190,35.860569,128.646286,23,1
CTV0000352,만촌2동999-12_100526,35.861317,128.646137,102,1
CTV0000968,만촌2동산360-8_101318,35.85785,128.650396,36,1
CTV0000969,만촌2동산360-8_북동쪽_101319,35.85785,128.650396,52,1
CTV0002559,급식실측면(역사관-급식실사이현관)(중앙01),35.817948,128.638482,203,1
CTV0002560,강당주차장측면(운동장)(중앙02),35.817948,128.638482,198,1
