LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 대구체육관로8길 7 (산격동),62,일반음식점,미소정멧돌순두부,2021-07-27
대구광역시 북구 대동로 3 (산격동),63,일반음식점,삼부자숯불갈비,44539
"대구광역시 북구 대동로 41, 1층 (산격동)",64,일반음식점,통떡볶이(경대점),2021-04-28
"대구광역시 북구 대동로1길 34, 가동 132호 (산격동)",65,일반음식점,밥묵자요,2021-01-03
"대구광역시 북구 대동로1길 34, 산격종합시장 가동 1층 107,108호 (산격동)",66,일반음식점,코레와카레,2020-08-01
"대구광역시 북구 대동로1길 37, 1층 (산격동)",67,일반음식점,청송식당,2021-01-03
"대구광역시 북구 대동로6길 40, 2층 (산격동)",68,일반음식점,마름모식당,2021-07-20
"대구광역시 북구 대불로 9, 1층 (산격동)",69,일반음식점,금강춘,2021-12-09
대구광역시 북구 대불서길 56-1 (산격동),70,일반음식점,비룡,2021-06-23
"대구광역시 북구 대불서길 56-3, 1층 (산격동)",71,일반음식점,부산양곱창,2021-06-23
대구광역시 북구 대불서길 59 (산격동),72,일반음식점,안동국시,2020-10-16
대구광역시 북구 대불서길 61 (산격동),73,일반음식점,선산대한곱창,2021-06-23
"대구광역시 북구 대천로17길 10, 1층 (동천동)",74,일반음식점,소소담,2023-10-31
대구광역시 북구 대천로17길 14 (동천동),75,일반음식점,네네치킨,2023-10-31
대구광역시 북구 대천로17길 8 (동천동),76,일반음식점,60계대구동천점,2023-10-30
대구광역시 북구 대천로17길 9-16 (동천동),77,일반음식점,세바퀴,2023-11-01
"대구광역시 북구 대천로7길 6-10 (읍내동, A동 1,2층 B동 1층)",78,일반음식점,기와집보쌈,2021-01-13
"대구광역시 북구 대학로 105, 1층 (산격동)",79,일반음식점,현풍닭칼국수경대점,2021-12-09
대구광역시 북구 대학로 135 (산격동),80,일반음식점,팔공한우곰탕,2020-09-03
"대구광역시 북구 대학로 146, 1층 (복현동)",81,일반음식점,태경청진동해장국복현점,2021-07-30
대구광역시 북구 대학로 71 (산격동),82,일반음식점,라화쿵부경북대점,2021-12-09
대구광역시 북구 대학로 79 (산격동),83,일반음식점,뉴살라딘레스토랑,44049
"대구광역시 북구 대학로 80 (산격동, 글로벌프라자 2층)",84,일반음식점,비빔가,2020-05-22
"대구광역시 북구 대학로13길 1, 2층 (산격동)",85,일반음식점,마야,2021-12-09
"대구광역시 북구 대학로13길 20-1, 1층 (산격동)",86,일반음식점,저스트마라관,2021-12-09
