LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
"대구광역시 북구 칠곡중앙대로69길 3-9, 1층 (태전동)",270,일반음식점,깟바대구보건대점,2022-11-08
대구광역시 북구 칠곡중앙대로69길 9-15 (태전동),271,일반음식점,오떡날,2022-11-08
대구광역시 북구 칠곡중앙대로75길 12 (태전동),272,일반음식점,용궁삼계탕,2022-10-27
"대구광역시 북구 칠곡중앙대로75길 24, 1층 (태전동)",273,일반음식점,참착한스시,2022-10-27
대구광역시 북구 칠곡중앙대로75길 24-1 (태전동),274,일반음식점,만두여행.냉면,2022-10-27
"대구광역시 북구 칠곡중앙대로77길 15, 1층 (태전동)",275,일반음식점,산너머강촌,2021-01-18
대구광역시 북구 칠곡중앙대로77길 6-11 (태전동),276,일반음식점,홍어삼합,2022-10-27
"대구광역시 북구 칠곡중앙대로80길 6, 1층 (태전동)",277,일반음식점,팔팔회랑물회전문점,2023-01-11
"대구광역시 북구 칠성남로 121, 1층 (칠성동2가)",278,일반음식점,"진참치침산,칠성점",2021-09-02
"대구광역시 북구 칠성남로 123, 1층 (칠성동2가)",279,일반음식점,푸릴리칠성점,2020-05-22
대구광역시 북구 칠성남로 127-24 (칠성동2가),280,일반음식점,팔산가든,2021-09-02
대구광역시 북구 칠성남로 129 (칠성동2가),281,일반음식점,태영생막창,2021-09-02
대구광역시 북구 칠성남로 129 (칠성동2가),282,일반음식점,진성참치,2021-03-08
대구광역시 북구 칠성남로 212 (칠성동1가),283,일반음식점,한우정,2021-06-24
대구광역시 북구 칠성남로20길 30 (칠성동2가),284,일반음식점,영아식당,2021-09-02
대구광역시 북구 칠성남로20길 37 (칠성동2가),285,일반음식점,경성반점,2021-09-02
"대구광역시 북구 칠성남로26길 32, 2층 (칠성동2가)",286,일반음식점,곰내미,2021-09-02
대구광역시 북구 칠성남로30길 48 (칠성동2가),287,일반음식점,일미반점,2021-09-02
대구광역시 북구 칠성남로37길 30 (칠성동2가),288,일반음식점,강남식당,2021-06-24
대구광역시 북구 칠성로 25-6 (칠성동2가),289,일반음식점,마포소곱창,2021-09-14
"대구광역시 북구 칠성로 29, D, E동 1층 (칠성동2가)",290,일반음식점,소소한갈비,2023-12-04
"대구광역시 북구 칠성로19길 18, 1층 (칠성동2가)",291,일반음식점,스무고개,2023-07-04
"대구광역시 북구 침산남로 160, 102동 12호 (침산동, 롯데캐슬상가)",292,일반음식점,이웃집소녀떡볶이,2021-07-30
"대구광역시 북구 침산남로 40, 2층 (노원동1가)",293,일반음식점,칠성할매콩국수,2020-05-22
대구광역시 북구 침산남로 49 (노원동1가),294,일반음식점,비봉산뼈다귀감자탕,2020-08-21
"대구광역시 북구 침산남로 54 (노원동1가,외1필지)",295,일반음식점,백년갈비 북구점,2023-06-28
대구광역시 북구 침산남로 56 (노원동1가),296,일반음식점,등촌샤브칼국수,2023-11-10
"대구광역시 북구 침산남로 58, 1층 (노원동1가)",297,일반음식점,풍년화로침산점,2023-07-26
대구광역시 북구 침산남로 63 (노원동1가),298,일반음식점,침산 소 한마리 정육식당,2023-11-10
"대구광역시 북구 침산남로 96, 2층 (침산동)",299,일반음식점,라라코스트침산점,2020-05-22
"대구광역시 북구 침산남로19길 9, 102동 117호 (침산동,청구타운상가)",300,일반음식점,동경식당,2023-04-11
"대구광역시 북구 침산남로44길 50, 1층 5호 (침산동)",301,일반음식점,옹심이내(內),2023-12-05
"대구광역시 북구 침산로 138, 2층 203호 (침산동, 명성프라임)",302,일반음식점,더포침산직영점,2022-03-04
"대구광역시 북구 침산로 138, 2층 204호 (침산동, 명성프라임)",303,일반음식점,개정침산점,2021-07-30
"대구광역시 북구 침산로 144, A동 201호 (침산동,화성투엠(2층))",304,일반음식점,샤브향침산점,2021-01-27
"대구광역시 북구 침산로 153 , 103동 B6호 (침산동, 명성푸르지오)",305,일반음식점,신참떡볶이 명성푸르지오점,2021-09-24
"대구광역시 북구 침산로 153 , 103동 B1호 (침산동, 명성푸르지오)",306,휴게음식점,샐러디대구침산점,2021-07-09
"대구광역시 북구 침산로 153 , 103동 B7호 (침산동, 명성푸르지오)",307,일반음식점,고봉민김밥인,2021-07-20
대구광역시 북구 침산로 154 (침산동),308,휴게음식점,본죽&비빔밥 대구침산네거리점,2022-04-15
"대구광역시 북구 침산로 158, 101동 1층 상가1103호 (침산동, 건영하이츠)",309,일반음식점,김선돼지국밥,2023-09-05
"대구광역시 북구 침산로 162-14, 1층 (침산동)",310,일반음식점,도우담725,2022-02-28
"대구광역시 북구 침산로 162-21, 1층 (침산동)",311,일반음식점,쭈꾸미가알고싶다,2023-01-20
대구광역시 북구 침산로 163 (침산동),312,일반음식점,일월산생고기직화구이,2022-05-18
"대구광역시 북구 침산로 168, 엠브로타워 2층 205호 (침산동)",313,일반음식점,유명식당,2023-06-01
"대구광역시 북구 침산로 168, 121호 (침산동)",314,일반음식점,동성로쭈꾸미,2022-04-13
"대구광역시 북구 침산로 168, 1층 118호 (침산동)",315,일반음식점,강씨목삼 침산점,2023-04-18
"대구광역시 북구 침산로 168-2, 1층 5호 (침산동)",316,일반음식점,치맥킹침산점,2020-05-22
대구광역시 북구 침산로 264 (침산동),317,일반음식점,안동식당,2021-06-24
대구광역시 북구 침산로 33 (고성동2가),318,일반음식점,도깨비돼지국밥,2023-08-16
"대구광역시 북구 침산로 66, 1층 (칠성동2가)",319,일반음식점,전원숯불침산점,2020-11-20
대구광역시 북구 침산로21길 23 (칠성동2가),320,일반음식점,한가네칼국수,2020-08-05
대구광역시 북구 침산로40길 7 (침산동),321,휴게음식점,이스트라이트(East Light),2023-01-31
"대구광역시 북구 태암남로 13, 1층 (태전동)",322,일반음식점,신마라 칠곡점,2022-11-02
"대구광역시 북구 태암남로 2, 1층 (태전동)",323,일반음식점,남행칠곡점,2023-07-14
"대구광역시 북구 태전로 16, 1층 (태전동)",324,일반음식점,다해,2022-11-10
대구광역시 북구 태전로 28 (태전동),325,일반음식점,앞산애산오징어,2022-11-11
"대구광역시 북구 태전로 29, 1층 (태전동)",326,일반음식점,교촌치킨 태전점,2022-11-10
"대구광역시 북구 태전로 37, A동 104,105호 (태전동)",327,일반음식점,간큰갈비,2022-11-11
대구광역시 북구 태전로 43 (태전동),328,일반음식점,누리마을감자탕(태전점),2021-04-14
대구광역시 북구 태전로 46 (태전동),329,일반음식점,원조산호아나고,2022-11-11
대구광역시 북구 태전로 50 (태전동),330,일반음식점,원조할매국밥,2022-11-10
대구광역시 북구 태전로 55 (태전동),331,일반음식점,24시교동촌콩나물해장국밥,2021-01-26
대구광역시 북구 태전로13길 12-2 (태전동),332,일반음식점,회나무집,2021-06-07
대구광역시 북구 태전로13길 19 (태전동),333,일반음식점,해주명가,2023-10-05
대구광역시 북구 태전로1길 34 (태전동),334,일반음식점,돈(豚)묵고 가자!,2023-01-12
"대구광역시 북구 태전로1길 34, B동 1층 (태전동)",335,일반음식점,달인의찜닭(태전점),2023-01-12
"대구광역시 북구 태전로1길 34, B동 1층 (태전동)",336,일반음식점,국민회타운,2023-01-06
대구광역시 북구 태전로7길 6 (태전동),337,일반음식점,용해원반점,2021-01-22
"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점)",338,일반음식점,개정롯데점,2022-02-21
"대구광역시 북구 태평로 161 (칠성동2가, 대구역구내)",339,일반음식점,소노야,2022-01-18
"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점 대구점)",340,일반음식점,차이(Chai)797롯데대구점,2021-08-13
"대구광역시 북구 태평로 161, 10층 (칠성동2가, 대구롯데백화점)",341,일반음식점,엠푸드시스템(무한샤브T3),2021-09-14
"대구광역시 북구 태평로 161, 롯데백화점 대구역 지하2층 (칠성동2가)",342,일반음식점,아비꼬롯데백화점대구점,2021-09-14
"대구광역시 북구 태평로 161, 롯데백화점 대구역 지하2층 (칠성동2가)",343,일반음식점,(주)포베이롯데대구점,2021-09-14
대구광역시 북구 태평로 161 롯데백화점 대구역 지하2층 (칠성동2가),344,휴게음식점,가홍치킨(대구점),2021-09-14
대구광역시 북구 태평로 161 롯데백화점 대구역 지하2층 (칠성동2가),345,휴게음식점,익선동창화당,2021-09-14
"대구광역시 북구 태평로 161, 롯데백화점 대구역 지하2층 (칠성동2가)",346,일반음식점,서울깍두기,2021-09-14
대구광역시 북구 팔거천동로 122 (동천동),347,일반음식점,한서회,2021-02-04
대구광역시 북구 팔거천동로 130 (동천동),348,일반음식점,동백섬횟집,2023-05-03
대구광역시 북구 팔거천동로24길 7-1 (동천동),349,일반음식점,마장동낭만대패,2022-07-11
대구광역시 북구 팔거천동로26길 3 (동천동),350,일반음식점,일광회집,2020-09-04
대구광역시 북구 팔거천동로34길 11 (동천동),351,일반음식점,장닭,2023-10-31
대구광역시 북구 팔거천동로34길 2-22 (동천동),352,일반음식점,개방,2023-01-09
대구광역시 북구 팔거천동로34길 2-6 (동천동),353,일반음식점,다희정한식,2023-10-30
대구광역시 북구 팔거천동로34길 3-5 (동천동),354,일반음식점,돌짜장,2023-10-30
"대구광역시 북구 팔거천동로4길 6-1, 1층 (구암동)",355,일반음식점,노랑통닭,2023-03-16
대구광역시 북구 팔거천서로 49-1 (태전동),356,일반음식점,부산양곱창,2021-06-23
대구광역시 북구 학남로 16 (학정동),357,일반음식점,케이케이큐푸드,2022-06-15
"대구광역시 북구 학남로 97, 1층 103호 (국우동)",358,일반음식점,바로만든족발칠곡점,2022-06-15
대구광역시 북구 학남로17길 2 (국우동),359,일반음식점,옛날수제비짬뽕탕,2022-06-15
대구광역시 북구 학정동로13길 2 (학정동),360,일반음식점,우리정,2021-07-02
"대구광역시 북구 학정로 115-1, 1(일부)층 (태전동)",361,일반음식점,짚탄,2023-11-08
"대구광역시 북구 학정로 40, 1층 101,102,103 후면호 (태전동)",362,일반음식점,미미관마라탕,2023-11-01
"대구광역시 북구 학정로 421 (동천동,일도프라자 102호)",363,일반음식점,경성한우국밥,2023-10-05
대구광역시 북구 학정로 45 (태전동),364,일반음식점,전라도국밥,2021-07-01
대구광역시 북구 학정로 50 ,365,일반음식점,본죽&비빔밥카페(Cafe) 대구매천점,2020-09-17
"대구광역시 북구 학남로 18, 1층 (학정동)",366,일반음식점,수유리혼밥왕,2022-06-13
대구광역시 북구 학정로 504 (학정동),367,일반음식점,돌판삼겹살미성칠곡3지구점,2022-06-13
대구광역시 북구 학정로 520 (학정동),368,일반음식점,금강민물장어식당,2022-06-22
"대구광역시 북구 학정로 546, 2층 (학정동)",369,일반음식점,누리마을감자탕(칠곡경대병원점),2020-05-22
"대구광역시 북구 학정로 550, 1층 (학정동)",370,일반음식점,맛은멋이다,2022-09-20
대구광역시 북구 학정로 551-23 (학정동),371,일반음식점,큰집식당2,2022-06-22
대구광역시 북구 학정로 551-42 (학정동),372,일반음식점,그린코다리찜,2021-05-20
"대구광역시 북구 학정로 551-42, 1층 (학정동)",373,일반음식점,"부산가야밀면전문점,청주본가 학정점",2021-11-09
"대구광역시 북구 학정로 557, 1층 (학정동)",374,일반음식점,보백관 칠곡점,2022-06-22
"대구광역시 북구 학정로 557, 1층 103,104호 (학정동)",375,일반음식점,만복이쭈꾸미낙지볶음(칠곡점),2020-05-22
"대구광역시 북구 학정로106길 22, 1층 (학정동)",376,일반음식점,남다른 갈비살,2023-09-05
"대구광역시 북구 학정로106길 7-1, 1층 (학정동)",377,일반음식점,모자분식,2022-07-04
"대구광역시 북구 한강로4길 13, 1층 111,112호 (사수동)",378,일반음식점,장수할매국밥,2023-01-11
"대구광역시 북구 한강로6길 4, 1층 (사수동)",379,일반음식점,담소,2023-10-17
대구광역시 북구 호국로 233 (서변동),380,일반음식점,까치산,2020-08-31
"대구광역시 북구 호국로 235, 2층 (서변동)",381,일반음식점,명륜진사갈비서변연경점,2021-04-14
"대구광역시 북구 호국로 807, 칠곡경북대학교병원 지하1층 (학정동)",382,일반음식점,개정경대병원칠곡점,2021-02-02
"대구광역시 북구 호국로 807-35, A동 1층 (학정동)",383,일반음식점,본죽비빔밥칠곡경북대점,2023-04-05
대구광역시 북구 호암로 30 (칠성동2가),384,일반음식점,본죽(침산점),2022-04-13
"대구광역시 북구 호암로 51, 에이동 1층 111호 (침산동)",385,일반음식점,이여곰탕,2022-04-15
"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰A동 1층 (침산동)",386,일반음식점,풍국면,2023-10-30
"대구광역시 북구 호암로 51, E동 1층 1호 (침산동, 삼성창조경제단지 기숙사)",387,일반음식점,(주)카페동이3호점,2021-04-26
"대구광역시 북구 호암로 51, 파크몰 B동 1층 1호 (침산동, 대구삼성창조경제단지)",388,일반음식점,토마틸로대구삼성창조경제단지점,2021-03-24
대구광역시 북구 호암로 6 (칠성동2가),389,일반음식점,아양짚 침산점,2023-11-21
